Station Name,Code,Line,Service(s),Ridership,Status,Region,CT District,County,City,MPO,RPTA,Address,Latitude,Longitude,Facility Owner,Platform Owner,Track Owner,Setting,Capitol Corridor,San Joaquins,Pacific Surfliner,Caltrain,ACE,SMART,Metrolink,COASTER,Amtrak Long Distance,Tracks,Island Platforms,Side Platforms,Track Crossing,Station ADA Accessibility,Accessible Platform,Shelter Type,Restrooms,Accessible Restrooms,Wifi,ATMs,Food,Real-Time Schedule,Ticket Machines,Staffed,Station Hours,Staffed Hours,Long Term Parking Spaces,Accessible Parking Spaces,Total Parking Spaces,Parking Owner,Class 1,Class 2,Class 3,Other,Total,Planned,Bike Rack Spaces,Bike Locker Spaces,Total Bike Parking,Sidewalks Present,Condition,Crosswalks,Connectivity,Future HSR,Commuter Service,Thruway Bus,Local Rail,Local Bus,Signal Priority/ITS,Link,Fare Transfer,Distance (Ft.) Between Rail Platform/Bus Stop,Population (.5 Miles),Population (1 Miles),Population (3 Miles),Jobs (.5 Miles),Jobs (1 Miles),Jobs (3 Miles),Jobs/Population Ratio (.5 Miles),Jobs/Population Ratio (1 Mile),Jobs/Population Ratio (3 Miles),CalEnviroScreen (Score),CalEnviroScreen (Percentile),Fatalities (Ped),Injuries (Ped),Fatalities (Bike),Injuries (Bike),Score,Category,Score,Category,Primary Land Use(s),TOD,Link,Intersections (1 Mile),Percentile,Intersections (3 Mile),Percentile,Population (1 Mile Catchment),Population (3 Mile Catchment),Jobs (1 Mile Catchment),Jobs (3 Mile Catchment),Population Index (1 Mile Catchment),Population Index (3 Mile Catchment),Jobs Index (1 Mile Catchment),Jobs Index (3 Mile Catchment),Station Website #1,Station Website #2,Station Website #3,Station Website #4,Great American Stations Website,Bike GIS Link,Active Transportation Plan
22nd Street,TWE,,Caltrain,,Active,,4,San Francisco,San Francisco,Metropolitan Transportation Commission,Metropolitan Transportation Commission,1149 22nd St.,37.757222,-122.3925,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,2,N/A,No,,Freeway,No,,,,,,2 Machines,,,,0,0,0,N/A,0.800636797,5.290452897,14.59622532,,20.68731501,,27,,,Yes,Good,Yes,Good,,Yes,,,No,,,,660,8757.812623,27924.18525,408277.2225,8766,25372,585241,1.000934866,0.908603054,1.43344024,15.23806472,0.152684564,9,256,23,4794,91,Walker's Paradise,,,,,,435,0.627118644,4426,0.983050847,15003.12007,281851.2778,14615,495970,0.537280495,0.69034289,0.576028693,0.84746284,https://www.caltrain.com/stations/22ndstreetstation.html,,,,,,
Westlake / MacArthur Park Station,,Metro,Metro,,Active,,7,Los Angeles,Los Angeles,Southern California Association of Governments,Southern California Association of Governments,,34.056368,-118.274879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,,,,,,,,,,,,,,,,,,,,,,,,39823.07167,128647.4143,596364.5752,13485,71027,500602,0.338622799,0.552105928,0.839422764,45.37287689,0.813758389,,,,,93,Walker's Paradise,,,,,,,,,,,,,,,,,,,,,,,,
Auburn,ARN,CCJPA,Capitol Corridor,,Active,,3,Placer,Auburn,Sacramento Area Council of Governments,Placer County Transportation Planning Agency,277 Nevada St. at Fulweiler,38.903725,-121.083353,UPRR,UPRR,,,< Bi-hourly,,,,,,,,,2,,1,N/A,,Yes,Shelter,Yes,No,No,No,,Yes,1 Machine,No,NA,NA,0,7,7,City of Auburn,,0.43563093,,,0.43563093,,14,4,18,Yes,Fair,Yes,Fair,No,None,Yes,None,Yes,No,,Yes** (Placer County Commuter Express Bus),240,1054.767186,4850.907525,26323.71477,1329,5846,18455,1.259993691,1.205135322,0.701078862,17.90937213,0.238255034,5,21,2,44,56,Somewhat Walkable,,,,No,,249,0.220338983,1152,0.203389831,2674.031854,18283.62522,5125,13647,0.551243626,0.694568581,0.876667807,0.739474397,https://www.capitolcorridor.org/stations/auburn/,,,,https://www.greatamericanstations.com/stations/auburn-ca-arn/,,
Livermore,LIV,,ACE,,Active,,4,Alameda,Livermore,Metropolitan Transportation Commission,Metropolitan Transportation Commission,2418 Railroad Avenue,37.6851,-121.7676,,,UP,,,,,,Peak hour/direction,,,,,2,,1,N/A,Yes,Yes,Shelter,Yes,,No,,,,0 Machines,Yes,5:00am - 7:00pm,,,8,8,,4.693968695,13.86024785,,,18.55421654,,,Yes,,Yes,Good,Yes,Fair,No,ACE,Yes,No,Yes (Livermore Amador Valley Transit Authority),,,,350,6196.673172,19914.08729,77978.57443,2735,7588,30707,0.441365863,0.381036795,0.393787655,18.90055079,0.261744966,5,82,0,272,97,Walker's Paradise,,,,,,584,0.93220339,2618,0.533898305,12897.05538,59981.26325,4572,17909,0.647634772,0.769201844,0.602530311,0.583222067,https://acerail.com/stations/,,,,,,
Chico,CIC,Coast Starlight,Amtrak Long Distance,,Active,,3,Butte,Chico,Butte County Association of Governments,Butte County Association of Governments,450 Orange Street,39.7233,-121.8461,City of Chico,Union Pacific,,,,,,,,,,,< Bi-hourly,1,,1,N/A,,Yes,None,No,No,,,,,,No,"09:00am - 12:00pm, 06:30pm - 07:30pm",,14,1,15,City of Chico,,,,,,,6,,6,Yes,Good,Yes,Good,No,No,Yes,No,Yes (B-Line),,,,350,4534.156446,16239.98181,70395.03251,4605,8559,38220,1.015624418,0.52703261,0.542936037,31.9502639,0.609060403,5,154,4,553,92,Walker's Paradise,,,,,,378,0.483050847,1826,0.398305085,10686.54028,51656.61387,8154,26763,0.658038931,0.733810498,0.952681388,0.700235479,https://www.amtrak.com/stations/cic,,,,https://www.greatamericanstations.com/stations/chico-ca-cic/,,
Redding,RDD,Coast Starlight,Amtrak Long Distance,,Active,,2,Shasta,Redding,Shasta Regional Transportation Agency,Shasta Regional Transportation Agency,1620 Yuba Street,40.5837,-122.3934,Union Pacific,Union Pacific,,,,,,,,,,,< Bi-hourly,3,,1,N/A,,Yes,Building,No,No,,,,,,No,N/A,,13,3,16,Union Pacific,,,,,,,,,,Yes,Good,Yes,Fair,No,No,Yes,No,Yes (Redding Area Bus Authority),,,,640,2716.389381,8620.237597,52270.90456,7377,13463,34973,2.715737313,1.561789898,0.669072026,19.40731718,0.290268456,10,126,4,309,84,Very Walkable,,,,,,404,0.576271186,1628,0.338983051,5828.110574,24651.79951,8999,25445,0.67609628,0.471616088,0.668424571,0.727561262,https://www.amtrak.com/stations/rdd,,,,https://www.greatamericanstations.com/stations/redding-ca-rdd/,,
Paso Robles,PRB,Coast Starlight,Amtrak Long Distance,,Active,,5,San Luis Obispo,Paso Robles,San Luis Obispo Council of Governments,San Luis Obispo Council of Governments,800 Pine Street,35.6227,-120.6878,City of Paso Robles,Union Pacific,,,,,,,,,,,< Bi-hourly,1,,1,N/A,,Yes,Building,Yes,Yes,,,,,,,N/A,,17,,17,City of Paso Robles,3.868615573,7.502401324,8.27224754,,19.64326444,16.05378292,,,,Yes,Good,Yes,Good,No,No,Yes,No,"Yes (SLO RTA, Paso Express, MST, Orange Belt Stages)",,,,160,2010.956476,7708.251254,28200.11151,2998,5441,12424,1.490832862,0.705866976,0.440565634,15.10503252,0.147651007,4,45,1,78,67,Somewhat Walkable,,,,,,322,0.338983051,1032,0.161016949,2948.806925,22121.28343,4250,10129,0.382551999,0.784439573,0.781106414,0.815276883,https://www.amtrak.com/stations/prb,,,,https://www.greatamericanstations.com/stations/paso-robles-ca-prb/,,
Richmond,RIC,"CCJPA, SJJPA","Capitol Corridor, San Joaquins, Amtrak Long Distance",,Active,,4,Contra Costa,Richmond,Metropolitan Transportation Commission,Metropolitan Transportation Commission,1700 Nevin Ave.,37.936811,-122.353095,UPRR,UPRR,,,Hourly,Bi-hourly,,,,,,,< Bi-hourly,3,1,,Tunnel,,Yes,Shelter,BART only,Bart only,No,No,,Yes,2 Machines,No,4am-12am,NA,20,,20,BART,1.295175755,0.909061475,3.254213611,,5.458450841,,36,24,60,Yes,Excellent,Yes,Good,No,None,No,BART,Yes,Maybe?,http://www.actransit.org/rapid-corridors/,"Yes (CC to AC Transit, except Transit Transbay Service, BART*)",650,10318.99166,37424.15304,135861.684,3250,6661,34165,0.314953254,0.17798666,0.251468987,44.31650293,0.796979866,10,234,5,425,84,Very Walkable,,,,Yes,http://www.ci.richmond.ca.us/959/Transit-Village-Metro-Walk,720,1,3261,0.677966102,23274.28913,107710.083,5361,28894,0.621905567,0.792792198,0.804834109,0.845719303,https://www.capitolcorridor.org/stations/richmond/,,,,https://www.greatamericanstations.com/stations/richmond-ca-ric/,,
Ventura,VEC,LOSSAN,Pacific Surfliner,,Active,,7,Ventura,Ventura,Southern California Association of Governments,Southern California Association of Governments,Harbor & Figueroa (County Fairgrnds),34.277,-119.2999,City of Ventura,UPRR,,,,,< Bi-hourly,,,,,,,1,,1,N/A,,Yes,Shelter,No,No,No,No,,Yes,Machines Available,No,NA,NA,A lot… (fairgrounds parking),,20,State of California,5.265832783,10.43831226,11.38139924,,27.08554428,8.571825812,,,,Yes,Fair,Yes,Fair,No,None,Yes,None,No,No,,No,N/A,1822.836704,8007.851341,36426.85828,3672,5634,15824,2.01444265,0.703559514,0.434404743,34.17405372,0.649328859,8,148,2,335,64,Somewhat Walkable,,,,,,194,0.144067797,915,0.144067797,4135.214717,28186.21709,5052,13709,0.51639504,0.773775682,0.896698616,0.866342265,https://www.pacificsurfliner.com/destinations/ventura/,,,,https://www.greatamericanstations.com/stations/ventura-ca-vec/,,
Lake Station,,Metro,Metro,,Active,,7,Los Angeles,Pasadena,Southern California Association of Governments,Southern California Association of Governments,,34.151806,-118.13139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,22,,,,,,,,,,,,,,,,,,,,,,,,11996.6664,42096.06163,186112.0515,9856,38941,111650,0.821561563,0.925050907,0.599907417,22.69901214,0.379194631,,,,,88,Very Walkable,,,,,,,,,,,,,,,,,,,,,,,,
